matchId,blue_kill,red_kill,blue_gold,red_gold,blue_tower,blue_inhibitor,red_tower,red_inhibitor,blue_monster,red_monster,current_time,blue_win
4599897401,15,6,26335,21440,0,0,-1,0,"['AIR_DRAGON', 'RIFTHERALD', 'EARTH_DRAGON']",[],900,1
4620505401,8,11,22576,24839,0,0,0,0,[],"['EARTH_DRAGON', 'RIFTHERALD']",900,1
4589826877,16,7,28517,20549,0,0,-2,0,"['FIRE_DRAGON', 'RIFTHERALD', 'EARTH_DRAGON']",[],900,1
4592900927,13,9,26706,22035,0,0,0,0,[],[],900,0
4624755011,1,1,4657,4950,0,0,0,0,[],[],300,0
4625952068,5,9,21561,22351,0,0,0,0,['FIRE_DRAGON'],['RIFTHERALD'],900,0
4616223046,10,20,23719,30231,-1,0,0,0,[],"['AIR_DRAGON', 'RIFTHERALD']",900,0
4594498899,7,5,23183,20403,0,0,-1,0,"['RIFTHERALD', 'FIRE_DRAGON']",[],900,1
4587895124,19,11,28346,23612,0,0,-1,0,"['FIRE_DRAGON', 'RIFTHERALD']",[],900,1
4610995031,12,10,24679,24847,0,0,0,0,[],"['RIFTHERALD', 'WATER_DRAGON']",900,0
4628324696,14,10,23607,21136,0,0,0,0,"['RIFTHERALD', 'AIR_DRAGON']",[],900,1
4603796313,7,12,19364,24011,0,0,0,0,[],['FIRE_DRAGON'],900,0
4613265753,10,8,23324,22795,0,0,0,0,['AIR_DRAGON'],[],900,0
4588347227,9,9,21684,21851,0,0,0,0,['FIRE_DRAGON'],['EARTH_DRAGON'],900,0
4626857306,9,11,22397,24543,0,0,0,0,"['FIRE_DRAGON', 'RIFTHERALD', 'EARTH_DRAGON']",[],900,1
4624533850,6,10,21787,23941,0,0,0,0,['RIFTHERALD'],"['EARTH_DRAGON', 'WATER_DRAGON']",900,0
4619211096,12,12,25947,25375,0,0,0,0,['RIFTHERALD'],"['EARTH_DRAGON', 'WATER_DRAGON']",900,0
